id	nombre
8000000000	ABBOTT
8000000001	ABEN LAB
8000000002	AKI PHARM
8000000003	ALCON
8000000004	ALELUNEY
8000000005	ALLERGAN
8000000006	ALPES CHEMIE
8000000007	ANAKENA
8000000008	ANDES NUTRACLINIC
8000000009	ANDROMACO
8000000010	ARAMA
8000000011	ARDO
8000000012	ASCEND
8000000013	ASMOH
8000000014	ASPEN
8000000015	ASTRAZENECA
8000000016	AURA VITALIS
8000000017	AVANTI
8000000018	AVENE
8000000019	AXON
8000000020	B&B
8000000021	BABYLAND
8000000022	BAGO
8000000023	BAXTER
8000000024	BAYER
8000000025	BEIERSDORF
8000000026	BEPANTHOL
8000000027	BEST HOUSE
8000000028	BI
8000000029	BIOPAS
8000000030	BIOPLANT
8000000031	BIOSAMSER
8000000032	BIOSANO
8000000033	BIOSYNTEC
8000000034	BIOTOSCANA
8000000035	BLUE STAR
8000000036	BODY TECH
8000000037	BOEHRINGER INGELHEIM
8000000038	BOTICA CANNABIS
8000000039	BPH
8000000040	BRAUN
8000000041	BRISTOL MYERS SQUIBB
8000000042	BROOKS
8000000043	BSN MEDICAL
8000000044	C&D
8000000045	CARISTOP
8000000046	CASCARA FOODS
8000000047	CENTROVET
8000000048	CHEMO PHARMA
8000000049	CHILE
8000000050	CNP
8000000051	COLGATE
8000000052	COREGA
8000000053	CUPERSCIENCE
8000000054	CURAESPRING
8000000055	D&M PHARMA
8000000056	DAILY
8000000057	DEL ALBA
8000000058	DENK
8000000059	DENTAID
8000000060	DEUTSCHE PHARMA
8000000061	DFM PHARMA
8000000062	DIFEM
8000000063	DISPOLAB
8000000064	DKT
8000000065	DOVE
8000000066	DR REDDY
8000000067	DR.REDDYS
8000000068	DRAG PHARMA
8000000069	DRASANVI
8000000070	DUCRAY
8000000071	DULZURA NATURAL
8000000072	DUO
8000000073	EASYLIFE
8000000074	ECOFARMACIA
8000000075	ELI LILLY
8000000076	ELITE
8000000077	EMCURE
8000000078	ESAN
8000000079	ESP OFTAL
8000000080	ETEX
8000000081	ETHON
8000000082	EUROFARMA
8000000083	EUROLAB
8000000084	EXELTIS
8000000085	EXTREMO SUR
8000000086	FAES
8000000087	FAMILY SET
8000000088	FARMOQUIMICA
8000000089	FERRER
8000000090	FERRING
8000000091	FLEX PHARMA
8000000092	FNL
8000000093	FOUCHARD
8000000094	FREICARE SWISS
8000000095	FRESENIUS KABI
8000000096	FUENTE VITAL
8000000097	GADOR
8000000098	GALDERMA
8000000099	GALENICUM
8000000100	GARDEN HOUSE
8000000101	GEDEON RICHTER
8000000102	GEMARK PHARMA
8000000103	GENERICO
8000000104	GENOMMA LAB
8000000105	GERMAN ENERGY
8000000106	GILLETTE
8000000107	GLOBAL PHARMA
8000000108	GLORY
8000000109	GNC
8000000110	GO
8000000111	GREEN MEDICAL
8000000112	GREEN ROOTS
8000000113	GRUNENTHAL
8000000114	GSK
8000000115	H&TLAB
8000000116	HELTIQ
8000000117	HELTY
8000000118	HETERO
8000000119	HOFMANN
8000000120	HOSPIFARMA
8000000121	IMPROFAR
8000000122	IMSILAB
8000000123	INDO PHARMA
8000000124	INGALFARMA
8000000125	INSTITUTO SANITAS
8000000126	IPAK
8000000127	IPHSA
8000000128	ISDIN
8000000129	ITF LABOMED
8000000130	JOHNSON&JOHNSON
8000000131	KAMPAR
8000000132	KARUNLIFE
8000000133	KATMANDU
8000000134	KIFFER
8000000135	KNOP
8000000136	KOLESTON
8000000137	KYREIN
8000000138	LA ROCHE POSAY
8000000139	LABORATORIO CHILE
8000000140	LABVITALIS
8000000141	LADY SPEED STICK
8000000142	LAFEDAR
8000000143	LAFI
8000000144	LIBRA
8000000145	LUNDBECK
8000000146	MADRE TIERRA
8000000147	MAVER
8000000148	MAYBELLINE
8000000149	MDC
8000000150	MDK
8000000151	MEDBIOTEC
8000000152	MEDCELL
8000000153	MEDINOVA
8000000154	MEDIPHARM
8000000155	MEDSTYLE
8000000156	MEDTRADE
8000000157	MEGALABS
8000000158	MENTHOLATUM
8000000159	MERCK
8000000160	MERCK SHARP&DOHME
8000000161	MINTLAB
8000000162	MOCO GORILA
8000000163	MOMENTA
8000000164	MSN
8000000165	NANUVA
8000000166	NATPLUS
8000000167	NATURAL
8000000168	NATURAL FARM
8000000169	NATURAL PHARM
8000000170	NATURALIST
8000000171	NATURAVIT
8000000172	NEILMED
8000000173	NEOETHICALS
8000000174	NEURO PHARMA
8000000175	NEUROINNOVATION
8000000176	NEWSCIENCE
8000000177	NIVEA
8000000178	NOTTS
8000000179	NOVARTIS
8000000180	NOVO NORDISK
8000000181	NUTRALINE
8000000182	NUTRAPHARM
8000000183	NUTRARTIS
8000000184	NUTREXX
8000000185	OFTALMOLOGICAS
8000000186	OLD SPICE
8000000187	OPHTHA
8000000188	OPKO
8000000189	OPTI FREE
8000000190	ORAL
8000000191	ORAL FRESH
8000000192	ORGANON
8000000193	P&G
8000000194	PAMPERS
8000000195	PANTENE
8000000196	PASTEUR
8000000197	PETRIZZIO
8000000198	PFIZER
8000000199	PHARMA INVESTI
8000000200	PHARMAMERICA
8000000201	PHARMARIS
8000000202	PHARMASAN
8000000203	PHARMATECH
8000000204	PIGEON
8000000205	PISA
8000000206	PORTO PHARMA
8000000207	PRANALAB
8000000208	PRATER
8000000209	PRONAT
8000000210	QUIFLO
8000000211	QUIMICA LUAR
8000000212	QUIMNATURA
8000000213	RAFFO
8000000214	RAIZ NATURAL
8000000215	RAYFILTER
