id,nombre
8000000000,ABBOTT
8000000001,ALCON
8000000002,ALELUNEY
8000000003,ALLERGAN
8000000004,ALPES CHEMIE
8000000005,ANDROMACO
8000000006,ARAMA
8000000007,ASCEND
8000000008,ASMOH
8000000009,ASPEN
8000000010,ASTRAZENECA
8000000011,AXON
8000000012,B&B
8000000013,BABYLAND
8000000014,BAGO
8000000015,BAXTER
8000000016,BAYER
8000000017,BEPANTHOL
8000000018,BEST HOUSE
8000000019,BIOPAS
8000000020,BIOPLANT
8000000021,BIOSANO
8000000022,BIOSYNTEC
8000000023,BIOTOSCANA
8000000024,BLUE STAR
8000000025,BODY TECH
8000000026,BOEHRINGER INGELHEIM
8000000027,BPH
8000000028,BRAUN
8000000029,BROOKS
8000000030,C&D
8000000031,CARISTOP
8000000032,CASCARA FOODS
8000000033,CENTROVET
8000000034,CHEMO PHARMA
8000000035,CHILE
8000000036,CNP
8000000037,COLGATE
8000000038,CUPERSCIENCE
8000000039,CURAESPRING
8000000040,D&M PHARMA
8000000041,DAILY
8000000042,DENTAID
8000000043,DEUTSCHE PHARMA
8000000044,DIFEM
8000000045,DOVE
8000000046,DR.REDDYS
8000000047,DRAG PHARMA
8000000048,DRASANVI
8000000049,DULZURA NATURAL
8000000050,DUO
8000000051,EASYLIFE
8000000052,ECOFARMACIA
8000000053,ELI LILLY
8000000054,ELITE
8000000055,ESAN
8000000056,ESP OFTAL
8000000057,ETEX
8000000058,ETHON
8000000059,EUROFARMA
8000000060,EUROLAB
8000000061,EXELTIS
8000000062,EXTREMO SUR
8000000063,FAES
8000000064,FAMILY SET
8000000065,FARMOQUIMICA
8000000066,FERRER
8000000067,FERRING
8000000068,FLEX PHARMA
8000000069,FREICARE SWISS
8000000070,FRESENIUS KABI
8000000071,GADOR
8000000072,GALDERMA
8000000073,GALENICUM
8000000074,GARDEN HOUSE
8000000075,GEDEON RICHTER
8000000076,GEMARK PHARMA
8000000077,GENERICO
8000000078,GENOMMA LAB
8000000079,GERMAN ENERGY
8000000080,GLOBAL PHARMA
8000000081,GRUNENTHAL
8000000082,GSK
8000000083,HELTY
8000000084,HETERO
8000000085,HOFMANN
8000000086,HOSPIFARMA
8000000087,INDO PHARMA
8000000088,INGALFARMA
8000000089,INSTITUTO SANITAS
8000000090,IPAK
8000000091,IPHSA
8000000092,ISDIN
8000000093,ITF LABOMED
8000000094,JOHNSON&JOHNSON
8000000095,KAMPAR
8000000096,KNOP
8000000097,LABVITALIS
8000000098,LAFEDAR
8000000099,LAFI
8000000100,LUNDBECK
8000000101,MADRE TIERRA
8000000102,MAVER
8000000103,MDC
8000000104,MDK
8000000105,MEDBIOTEC
8000000106,MEDCELL
8000000107,MEDINOVA
8000000108,MEDIPHARM
8000000109,MEDSTYLE
8000000110,MEDTRADE
8000000111,MEGALABS
8000000112,MERCK
8000000113,MERCK SHARP&DOHME
8000000114,MINTLAB
8000000115,MOMENTA
8000000116,MSN
8000000117,NEOETHICALS
8000000118,NEURO PHARMA
8000000119,NEUROINNOVATION
8000000120,NEWSCIENCE
8000000121,NOVARTIS
8000000122,NOVO NORDISK
8000000123,NUTRALINE
8000000124,OFTALMOLOGICAS
8000000125,OPHTHA
8000000126,OPKO
8000000127,ORAL
8000000128,ORAL FRESH
8000000129,ORGANON
8000000130,P&G
8000000131,PASTEUR
8000000132,PETRIZZIO
8000000133,PFIZER
8000000134,PHARMA INVESTI
8000000135,PHARMAMERICA
8000000136,PHARMASAN
8000000137,PHARMATECH
8000000138,PISA
8000000139,PORTO PHARMA
8000000140,PRANALAB
8000000141,PRATER
8000000142,PRONAT
8000000143,QUIFLO
8000000144,QUIMNATURA
8000000145,RAFFO
8000000146,RAYFILTER
8000000147,RAYTAN
8000000148,RECALCINE
8000000149,RECCIUS
8000000150,RECKITT BENCKISER
8000000151,REUTTER
8000000152,ROCHE
8000000153,ROERIG
8000000154,ROYAL PHARMA
8000000155,SANAX
8000000156,SANDERSON
8000000157,SANOFI AVENTIS
8000000158,SANOTACT
8000000159,SANTE PHARMA
8000000160,SANYFARM
8000000161,SAVAL
8000000162,SCL
8000000163,SCM PHARMA
8000000164,SENSORIAL
8000000165,SERVIER
8000000166,SEVEN PHARMA
8000000167,SILESIA
8000000168,SMB
8000000169,SOPHIA
8000000170,SYNTHON
8000000171,TECNOFARMA
8000000172,TROJAN
8000000173,TS GROUP
8000000174,UNIFARMA
8000000175,VALMA
8000000176,VISION CARE
8000000177,VITIS
8000000178,VIVUNT PHARMA
8000000179,VOGUE
8000000180,WYETH
